Title, Samples absorbance
Comment, 
Date, 15/04/2025 10:33:50 
Operator, 
System Name, Undefined
Wavelength(nm),25cy BiVO4_1 1,Wavelength(nm),25cy BiVO4_2 1,Wavelength(nm),35cy BiVO4_1 1,Wavelength(nm),35cy BiVO4_2 1,Wavelength(nm),WO3_1 1,Wavelength(nm),WO3_2 1,Wavelength(nm),Fe2O3 control 1,Wavelength(nm),Fe2O3 UV-O 5mins 1,Wavelength(nm),Fe2O3 UV-O 5mins 2,
310.000000000002,0.509819464669954,310.000000000002,0.521649552431346,310.000000000002,0.632595729646591,310.000000000002,0.679054207093081,310.000000000002,0.370704858855623,310.000000000002,0.396434667735806,310.000000000002,2.41830958530163,310.000000000002,0.995279638751357,310.000000000002,0.924504944981467,
311.000000000003,0.504824051333908,311.000000000003,0.515838412441725,311.000000000003,0.627863602625924,311.000000000003,0.674235063282068,311.000000000003,0.365981815657391,311.000000000003,0.390996231297895,311.000000000003,2.42980724795123,311.000000000003,0.989084379485343,311.000000000003,0.919770447401719,
312.000000000003,0.500612405441771,312.000000000003,0.510641044940794,312.000000000003,0.623427452484307,312.000000000003,0.669841411545345,312.000000000003,0.360940505377961,312.000000000003,0.38538632541252,312.000000000003,2.4400237154233,312.000000000003,0.982333486807957,312.000000000003,0.914982390543365,
313.000000000003,0.495937093004792,313.000000000003,0.505866168713416,313.000000000003,0.619365211778907,313.000000000003,0.666113716831742,313.000000000003,0.356584485376062,313.000000000003,0.380353384985478,313.000000000003,2.44938236371414,313.000000000003,0.979632489814812,313.000000000003,0.911488029368777,
314.000000000003,0.491604765712277,314.000000000003,0.501571810564795,314.000000000003,0.614846225708238,314.000000000003,0.66176407447321,314.000000000003,0.353682441293707,314.000000000003,0.37557643976675,314.000000000003,2.45766537357735,314.000000000003,0.976341441578037,314.000000000003,0.907345131277618,
315.000000000003,0.487827701286493,315.000000000003,0.497680533581327,315.000000000003,0.610407452966731,315.000000000003,0.65745022668377,315.000000000003,0.35047317415574,315.000000000003,0.370981299146045,315.000000000003,2.40200726039314,315.000000000003,0.974364561303787,315.000000000003,0.90605714232604,
316.000000000004,0.484490270900744,316.000000000004,0.493721987697598,316.000000000004,0.607021348711788,316.000000000004,0.653696717579493,316.000000000004,0.347152104612408,316.000000000004,0.367396141132724,316.000000000004,2.37405131369,316.000000000004,0.970769358757174,316.000000000004,0.902621582702884,
317.000000000004,0.481370600784334,317.000000000004,0.489901077029185,317.000000000004,0.604085924199668,317.000000000004,0.650353087149369,317.000000000004,0.343809036183119,317.000000000004,0.364279177143797,317.000000000004,2.37989518955768,317.000000000004,0.966585274936436,317.000000000004,0.898431328159883,
318.000000000004,0.478258720091801,318.000000000004,0.486584675448432,318.000000000004,0.600414423028654,318.000000000004,0.646968123868744,318.000000000004,0.340592244286473,318.000000000004,0.360655742389643,318.000000000004,2.38561930281507,318.000000000004,0.964385089433496,318.000000000004,0.897322766019922,
319.000000000004,0.475522824144244,319.000000000004,0.482837349443047,319.000000000004,0.596507307947055,319.000000000004,0.643506604198094,319.000000000004,0.338519689309962,319.000000000004,0.357644377314912,319.000000000004,2.38964817018231,319.000000000004,0.963238216518586,319.000000000004,0.897159848987827,
320.000000000005,0.473346746744009,320.000000000005,0.479723078548517,320.000000000005,0.593587503784312,320.000000000005,0.639997772415398,320.000000000005,0.336264352639125,320.000000000005,0.354515963721391,320.000000000005,2.39350483463898,320.000000000005,0.961869638062733,320.000000000005,0.894675443139,
321.000000000005,0.47093616129065,321.000000000005,0.476960725489112,321.000000000005,0.590406644237477,321.000000000005,0.636892505085415,321.000000000005,0.334325280221714,321.000000000005,0.351487194372598,321.000000000005,2.39701740434797,321.000000000005,0.96019671468507,321.000000000005,0.892936357258885,
